Pull_Request_ID,label,Score,Title,Body,Type,
salt-43773,0,0,[2017.7] Merge forward from 2016.11 to 2017.7,No conflicts.,version_update,
rails-31727,1,1,Refactor migration to move migrations paths to connection,"Rails has some support for multiple databases but it can be hard to handle migrations with those. The easiest way to implement multiple databases is to contain migrations into their own folder (""db/migrate"" for the primary db and ""db/seconddb_migrate"" for the second db). Without this you would need to write code that allowed you to switch connections in migrations. I can tell you from experience that is not a fun way to implement multiple databases.
This refactoring is a pre-requisite for implementing other features related to parallel testing and improved handling for multiple databases. The refactoring here moves the class methods from the Migrator class into it's own new class MigrationContext. The goal was to move the migrations_paths method off of the Migrator class and onto the connection. This allows users to do the following in their
database.yml:
development:
  adapter: mysql2
  username: root
  password:
development_seconddb:
  adapter: mysql2
  username: root
  password:
  migrations_paths: ""db/second_db_migrate""
Migrations for the seconddb can now be store in the db/second_db_migrate directory. Migrations for the primary database are stored in db/migrate"". The refactoring here drastically reduces the internal API for migrations since we don't need to pass migrations_paths around to every single method. Additionally this change does not require any Rails applicationsto make changes unless they want to use the new public API. All of the
class methods from the Migrator class were nodoc'd except for the
migrations_paths and migrations_path getter/setters respectively.
cc/ @tenderlove",refactoring,
moby-35790,1,1,Remove support for referencing images by 'repository:shortid',"The repository:shortid syntax for referencing images is very little used, collides with with tag references can be confused with digest references.
The repository:shortid notation was deprecated in Docker 1.13 through
5fc7159 (#27207), and scheduled for removal in Docker 17.12.
This patch removes the support for this notation.
- Description for the changelog
* Remove support for referencing images through `repository:short-id`. Support for this notation was deprecated in Docker 1.13, and scheduled for removal in Docker 17.12 []()
- A picture of a cute animal (not mandatory but encouraged)

(image source: https://csolsqs.com/centipede/centipede-020.jpg)",refactoring,
cmssw-20834,1,1,[94x] L1T BMTF introduce packer and small emulator fix,"[94x] Introduce packer for BMTF, needed for 94x MC.

bmtfStage2Raw packer is included in L1TDigi2Raw sequence.
emulator, unmask eta at station 1 wheel+/-2 to match fw",new_feature,
nixpkgs-33315,1,1,nixos/borgbackup: add test,"We had problems to get borg's own test suite running.
This test is intended to perform a quick smoke test to see whether we
have missed not any important dependency necessary to create backups
with borg.
Motivation for this change
Things done


 Tested using sandboxing (nix.useSandbox on NixOS, or option build-use-sandbox in nix.conf on non-NixOS)
Built on platform(s)

 NixOS
 macOS
 other Linux distributions


 Tested via one or more NixOS test(s) if existing and applicable for the change (look inside nixos/tests)
 Tested compilation of all pkgs that depend on this change using nix-shell -p nox --run ""nox-review wip""
 Tested execution of all binary files (usually in ./result/bin/)
 Fits CONTRIBUTING.md.",testing,
rust-48158,2,1,Rollup of 8 pull requests,"Successful merges: #47846, #48033, #48087, #48114, #48126, #48130, #48133, #48151
Failed merges:",other,
framework-21447,1,1,[5.5] Fix spelling of 'optionally',,typo_error,
salt-44355,2,1,add ability to customize cloud config options in cloud runner functioÂ…,"add ability to customize cloud config options in cloud runner functions: destroy and action
What does this PR do?
This adds the ability to pass in custom cloud config options, like providers, through the opts variable.
What issues does this PR fix or reference?
N/A
Tests written?
No
Commits signed with GPG?
No
Please review Salt's Contributing Guide for best practices.
See GitHub's page on GPG signing for more information about signing commits with GPG.",new_feature,
django-9384,1,1,Fixed #28773 -- Forced pot files to use UNIX-style newlines,Thanks Hendy Irawan for the analysis and report.,bug_fix,
opencv-9865,1,1,fix and clarify several grammar issues,"This pullrequest changes
Fix a couple grammar issues and clarify sentences.",Doc PR,
tensorflow-13596,0,0,"Revert ""Implementing ghost batch norm as defined in https://arxiv.orgÂ…","@chrisying fyi
Reverting in case we want to change the parameter name and semantics.",other,
salt-44498,3,0,Add Chocolatey execution timeout support,"What does this PR do?
Add Chocolatey execution timeout support
What issues does this PR fix or reference?
Fixes: #41915
Tests written?
No
Commits signed with GPG?
Yes",new_feature,
nixpkgs-34542,0,0,bonfire: bump arrow dependency (fixes build),"Motivation for this change
package on master is broken due to a newer arrow package
Things done

 Tested using sandboxing (nix.useSandbox on NixOS, or option build-use-sandbox in nix.conf on non-NixOS)
Built on platform(s)

 NixOS
 macOS
 other Linux distributions


 Tested via one or more NixOS test(s) if existing and applicable for the change (look inside nixos/tests)
 Tested compilation of all pkgs that depend on this change using nix-shell -p nox --run ""nox-review wip""
 Tested execution of all binary files (usually in ./result/bin/)
 Fits CONTRIBUTING.md.",bug_fix,
tensorflow-14136,0,0,eager: Update broken link in README,,Doc PR,
symfony-24285,0,0,[DI] Dont use JSON_BIGINT_AS_STRING,"QA

Branch?
3.4

bug_fix?
yes

New feature?
no

BC breaks?
no
Deprecations?

no
Tests pass?
yes

Fixed tickets
License
MIT

Doc PR
Because it's incompatible with stringy keys, for unknown reason, see https://3v4l.org/IHSqv",bug_fix,
symfony-25954,0,0,Release v2.8.34,"Changelog (since v2.8.33...v2.8.34)

bug #25922 [HttpFoundation] Use the correct syntax for session gc based on Pdo driver (@tanasecosminromeo)
bug #25933 Disable CSP header on exception pages only in debug (@ostrolucky)
bug #25926 [Form] Fixed Button::setParent() when already submitted (@HeahDude)
bug #25927 [Form] Fixed submitting disabled buttons (@HeahDude)
bug #25891 [DependencyInjection] allow null values for root nodes in YAML configs (@xabbuh)
bug #25848 [Validator] add missing parent isset and add test (@Simperfit)
bug #25861 do not conflict with egulias/email-validator 2.0+ (@xabbuh)
bug #25851 [Validator] Conflict with egulias/email-validator 2.0 (@emodric)
bug #25837 [SecurityBundle] Don't register in memory users as services (@chalasr)
bug #25835 [HttpKernel] DebugHandlersListener should always replace the existing exception handler (@nicolas-grekas)
bug #25829 [Debug] Always decorate existing exception handlers to deal with fatal errors (@nicolas-grekas)
bug #25824 Fixing a bug where the dump() function depended on bundle ordering (@weaverryan)
bug #25789  Enableable ArrayNodeDefinition is disabled for empty configuration (@kejwmen)
bug #25816 Problem in phar see mergerequest #25579 (@betzholz)
bug #25781 [Form] Disallow transform dates beyond the year 9999 (@curry684)
bug #25812 Copied NO language files to the new NB locale (@derrabus)
bug #25801 [Router] Skip anonymous classes when loading annotated routes (@pierredup)
bug #25657 [Security] Fix fatal error on non string username (@chalasr)
bug #25799 Fixed Request::__toString ignoring cookies (@Toflar)
bug #25755 [Debug] prevent infinite loop with faulty exception handlers (@nicolas-grekas)
bug #25771 [Validator] 19 digits VISA card numbers are valid (@xabbuh)
bug #25751 [FrameworkBundle] Add the missing enabled session attribute (@sroze)
bug #25750 [HttpKernel] Turn bad hosts into 400 instead of 500 (@nicolas-grekas)
bug #25490 [Serializer] Fixed throwing exception with option JSON_PARTIAL_OUTPUT_ON_ERROR (@diversantvlz)
bug #25709 Tweaked some styles in the profiler tables (@javiereguiluz)
feature #25669 [Security] Fail gracefully if the security token cannot be unserialized from the session (@thewilkybarkid)",version_update,
salt-45958,0,0,Backporting #45935 to 2017.7,"What does this PR do?
Back porting #45936 to 2017.7
Commits signed with GPG?
Yes
Please review Salt's Contributing Guide for best practices.
See GitHub's page on GPG signing for more information about signing commits with GPG.",refactoring,
pandas-18786,0,0,TST: xfail geopandas downstream test,xref #18780,testing,
nixpkgs-29012,0,0,maxx: allow launching individual components,"Motivation for this change
Allow launching individual programs without need to run full environment.
Things done


 Tested using sandboxing (nix.useSandbox on NixOS, or option build-use-sandbox in nix.conf on non-NixOS)
Built on platform(s)

 NixOS
 macOS
 Linux


 Tested via one or more NixOS test(s) if existing and applicable for the change (look inside nixos/tests)
 Tested compilation of all pkgs that depend on this change using nix-shell -p nox --run ""nox-review wip""
 Tested execution of all binary files (usually in ./result/bin/)
 Fits CONTRIBUTING.md.",new_feature,
yii2-14785,3,0,Merging master into 2.1,"QA

Is bugfix?
no
New feature?
no
Breaks BC?
no

Tests pass?
?
Fixed issues",other,
scikit-learn-10060,3,0,[MRG] MAINT Remove duplicate import in test_pca.py,"Another flake8 error in #10042, the reason for master failure.",refactoring,
terraform-16621,0,0,Fix panic with invalid module providers,"Missed validation when a module names a provider that doesn't exist. Catch the error in validation, and remove the panic.
This will also be caught during graph transformation in the next iteration of the provider handling code.",bug_fix,
nixpkgs-34045,1,1,Fix remaining 4.14 libelf outbreak,"Motivation for this change
Fixing up some remainign breakage after the 4.14 libelf dependency issues.
Things done


 Tested using sandboxing (nix.useSandbox on NixOS, or option build-use-sandbox in nix.conf on non-NixOS)
Built on platform(s)

 NixOS
 macOS
 other Linux distributions


 Tested via one or more NixOS test(s) if existing and applicable for the change (look inside nixos/tests)
 Tested compilation of all pkgs that depend on this change using nix-shell -p nox --run ""nox-review wip""
 Tested execution of all binary files (usually in ./result/bin/)
 Fits CONTRIBUTING.md.",bug_fix,
rust-46802,1,1,Point at def span on redefined name diagnostic,,other,
kubernetes-56624,1,1,Change Auto-Repair e2e test tags.,Change Auto-Repair e2e test tags.,testing,
opencv-9786,1,1,3D histogram,An example how to use calcHist for 3D histogram and how to display using viz,Doc PR,
rails-31331,1,1,Add bulk alter support for PostgreSQL,"30176f2 introduced a bulk: true option to MySQL adapter's change_table,
which aggregates multiple column changes into a single complex ALTER TABLE
statement. This change extends the feature to PostgreSQL.
Considerations

MySQL's bulk_change_table lives in
ConnectionAdapters::AbstractMysqlAdapter, perhaps these methods should be
moved to ConnectionAdapters::PostgreSQLAdapter?",new_feature,
rails-31154,1,1,Fix migration version in doc of #up_only,Related to #31082,Doc PR,
kubernetes-56857,2,1,GCE: Parse comma-separated values in the config file,"This is necessary to support fields such as AlphaFeatures, which is
usually populated through an environment variable.
What this PR does / why we need it:
Which issue(s) this PR fixes (optional, in fixes #<issue number>(, fixes #<issue_number>, ...) format, will close the issue(s) when PR gets merged):
Fixes #56833
Release note:

[GCE] Parse comma-separated values in the config file",bug_fix,
salt-43442,1,1, [2016.11] Fixes to scheduler __pub values in kwargs,"Adding a small check to ensure we do not continue to populate kwargs with _pub items from the kwargs item.
What does this PR do?
Causes the scheduler to ignore the kwargs argument when creating the __pub values inside kwargs, otherwise we end with an ever growing dict of nested __pub values.
What issues does this PR fix or reference?
#43386
Tests written?
No
Please review Salt's Contributing Guide for best practices.",bug_fix,
framework-21269,0,0,[5.4] Fix invalid phpdoc on the Queue contract,Backport of #21248,refactoring,
django-9378,0,0,Removed unused words from docs/spelling_wordlist.,,Doc PR,
nixpkgs-29431,0,0,libxml2: 2.9.4 -> 2.9.5,"Motivation for this change
This pull request is for staging because it involves a mass rebuild.
Things done


 Tested using sandboxing (nix.useSandbox on NixOS, or option build-use-sandbox in nix.conf on non-NixOS)
Built on platform(s)

 NixOS
 macOS
 Linux


 Tested via one or more NixOS test(s) if existing and applicable for the change (look inside nixos/tests)
 Tested compilation of all pkgs that depend on this change using nix-shell -p nox --run ""nox-review wip""
 Tested execution of all binary files (usually in ./result/bin/)
 Fits CONTRIBUTING.md.",version_update,
django-9433,3,0,[WIP] Fix #28646 -- postgres migration issue,https://code.djangoproject.com/ticket/28646,bug_fix,
nixpkgs-33125,0,0,coreutils: 8.28 -> 8.29,"See http://lists.gnu.org/archive/html/info-gnu/2017-12/msg00016.html
for release announcement
This PRÂ is for staging
Motivation for this change
Things done


 Tested using sandboxing (nix.useSandbox on NixOS, or option build-use-sandbox in nix.conf on non-NixOS)
Built on platform(s)

 NixOS
 macOS
 other Linux distributions


 Tested via one or more NixOS test(s) if existing and applicable for the change (look inside nixos/tests)
 Tested compilation of all pkgs that depend on this change using nix-shell -p nox --run ""nox-review wip""
 Tested execution of all binary files (usually in ./result/bin/)
 Fits CONTRIBUTING.md.",version_update,
tensorflow-17305,0,0,Bump the version of CUB in cmake build.,"We made the same upgrade for bazel build, but forgot about cmake.",version_update,
salt-44901,0,0,change beacons.enable_job to beacons.enable_beacon,"What does this PR do?
There was an error in beacon state module that invoke missing beacons.enable_job execution function.
this PR correct it by invoking beacons.enable_beacon instead.
Tests written?
No
Commits signed with GPG?
No
Please review Salt's Contributing Guide for best practices.
See GitHub's page on GPG signing for more information about signing commits with GPG.",bug_fix,
scikit-learn-9977,0,0,DOC: Fixed typo,"What does this implement/fix? Explain your changes.
Corrects a typo in the TruncatedSVD docstring.",Doc PR,
nixpkgs-33780,0,0,"Ruby: 2.2.8 -> 2.2.9, 2.3.5 -> 2.3.6, 2.4.2 -> 2.4.3","Motivation for this change
Security issues described in https://www.ruby-lang.org/en/news/2017/12/14/net-ftp-command-injection-cve-2017-17405/
Things done


 Tested using sandboxing (nix.useSandbox on NixOS, or option build-use-sandbox in nix.conf on non-NixOS)
Built on platform(s)

 NixOS
 macOS
 other Linux distributions


 Tested via one or more NixOS test(s) if existing and applicable for the change (look inside nixos/tests)
 Tested compilation of all pkgs that depend on this change using nix-shell -p nox --run ""nox-review wip""
 Tested execution of all binary files (usually in ./result/bin/)
 Fits CONTRIBUTING.md.",version_update,
salt-43823,3,0,Update survey.py,"Python3 requires UTF-8 encoding for hashlib
Error:
File ""/usr/local/lib/python3.6/site-packages/salt/runners/survey.py"", line 174, in _get_pool_results
digest = hashlib.sha256(str(minions[minion])).hexdigest()
TypeError: Unicode-objects must be encoded before hashing",bug_fix,
framework-22311,0,0,[5.6] Added missing asterisk for compileAuth DocBlock (Closes #22309),Simple documentation fix. Though I'm not sure where how to regenerate the docs or make a request to.,Doc PR,
nixpkgs-29793,3,0,[WIP] gtk-platform: init at 2017-09-25,"Motivation for this change
I though it provides style plugin too, but it's not. So makes no sense to me, not adding. Otherwise expression is ready (except meta).
Things done


 Tested using sandboxing (nix.useSandbox on NixOS, or option build-use-sandbox in nix.conf on non-NixOS)
Built on platform(s)

 NixOS
 macOS
 Linux


 Tested via one or more NixOS test(s) if existing and applicable for the change (look inside nixos/tests)
 Tested compilation of all pkgs that depend on this change using nix-shell -p nox --run ""nox-review wip""
 Tested execution of all binary files (usually in ./result/bin/)
 Fits CONTRIBUTING.md.",other,
framework-22604,3,0,[5.5] Reuse compileDropIndex,,other,
nixpkgs-33724,1,1,minio: 2017-09-29T19-16-56Z -> 2018-01-02T23-07-00Z,"Motivation for this change
https://github.com/minio/minio/releases/tag/RELEASE.2018-01-02T23-07-00Z
@grahamc Contains security fixes (see: https://blog.minio.io/minio-release-jan-2nd-2018-security-advisory-ef0342a4ddba) so it might be worth to backport to 17.09
Things done


 Tested using sandboxing (nix.useSandbox on NixOS, or option build-use-sandbox in nix.conf on non-NixOS)
Built on platform(s)

 NixOS
 macOS
 other Linux distributions


 Tested via one or more NixOS test(s) if existing and applicable for the change (look inside nixos/tests)
 Tested compilation of all pkgs that depend on this change using nix-shell -p nox --run ""nox-review wip""
 Tested execution of all binary files (usually in ./result/bin/)
 Fits CONTRIBUTING.md.",bug_fix,
kubernetes-52290,1,1,Fixes device plugin re-registration handling logic to make sure:,"If a device plugin exits, its exported resource will be removed.
No capacity change if a new device plugin instance comes up to replace the old instance.


What this PR does / why we need it:
Which issue this PR fixes (optional, in fixes #<issue number>(, fixes #<issue_number>, ...) format, will close that issue when PR gets merged): fixes #52510
Special notes for your reviewer:
Release note:",bug_fix,
rails-30683,1,1,Use `TOPLEVEL_BINDING` in rails runner command,"Binding to capture the local scope.
This means that if a constant with same name as constant specified by the user exists in local scope, constant  defined in local will use.  This is different from what the user expects.
Therefore, fixed to use top-level binding instead of local scope.
Fixes #30644",bug_fix,
nixpkgs-33009,1,1,netdata: 1.7.0 -> 1.9.0,"Motivation for this change
Updates netdata from release 1.7 to 1.9.
Things done
https://github.com/firehol/netdata/releases/tag/v1.8.0
https://github.com/firehol/netdata/releases/tag/v1.9.0

 Tested using sandboxing (nix.useSandbox on NixOS, or option build-use-sandbox in nix.conf on non-NixOS)
Built on platform(s)

 NixOS
 macOS
 other Linux distributions


 Tested via one or more NixOS test(s) if existing and applicable for the change (look inside nixos/tests)
 Tested compilation of all pkgs that depend on this change using nix-shell -p nox --run ""nox-review wip""
 Tested execution of all binary files (usually in ./result/bin/)
 Fits CONTRIBUTING.md.",version_update,
tensorflow-15008,1,1,Document iOS demo app in TF Lite Readme,"See the rendered markdown here: https://github.com/miaout17/tensorflow/blob/ios-example-readme/tensorflow/contrib/lite/README.md#ios-demo-app
I think the demo app is already well-explained for the Android, so it just require a few lines to describe how to build the iOS version.",Doc PR,
nixpkgs-33650,1,1,"whois: use idn, libiconv; update","Motivation for this change
Support ""international"" domains, and update to latest while at it.
Things done


 Tested using sandboxing (nix.useSandbox on NixOS, or option build-use-sandbox in nix.conf on non-NixOS)
Built on platform(s)

 NixOS
 macOS
 other Linux distributions


 Tested via one or more NixOS test(s) if existing and applicable for the change (look inside nixos/tests)
 Tested compilation of all pkgs that depend on this change using nix-shell -p nox --run ""nox-review wip""
 Tested execution of all binary files (usually in ./result/bin/)
 Fits CONTRIBUTING.md.",new_feature,
